symbol,symbol_name,detected_at,review_category,missed_opportunity,mfe_pct,mae_pct,return_to_close_pct,time_to_high_min,final_decision,reason_code,block_source,missed_reason_detail,recoverable,would_have_passed_if_time_policy_relaxed,would_have_passed_if_order_guard_relaxed,blocked_after_buy_ready,order_guard_rule,order_guard_recoverable,time_bucket,sector_name,primary_theme,theme_names
446540,메가터치,2026-05-19 11:08:55,TIME_POLICY_BLOCK,False,,,,,,TIME_POLICY_ANALYSIS_ONLY,time_policy,ALLOW_MANAGE_ONLY,False,False,False,False,time_policy,False,10:30~13:00,전기/전자,,
114450,그린생명과학,2026-05-19 11:32:43,TIME_POLICY_BLOCK,False,,,,,,TIME_POLICY_ANALYSIS_ONLY,time_policy,ALLOW_MANAGE_ONLY,False,False,False,False,time_policy,False,10:30~13:00,제약,,
302440,SK바이오사이언스,2026-05-19 11:34:29,TIME_POLICY_BLOCK,False,,,,,,TIME_POLICY_ANALYSIS_ONLY,time_policy,ALLOW_MANAGE_ONLY,False,False,False,False,time_policy,False,10:30~13:00,제약,,
357880,SKAI,2026-05-19 12:23:51,TIME_POLICY_BLOCK,False,,,,,,TIME_POLICY_ANALYSIS_ONLY,time_policy,ALLOW_MANAGE_ONLY,False,False,False,False,time_policy,False,10:30~13:00,IT 서비스,,
031210,서울보증보험,2026-05-19 12:24:04,TIME_POLICY_BLOCK,False,,,,,,TIME_POLICY_ANALYSIS_ONLY,time_policy,ALLOW_MANAGE_ONLY,False,False,False,False,time_policy,False,10:30~13:00,보험,,
323280,태성,2026-05-19 12:28:27,TIME_POLICY_BLOCK,False,,,,,,TIME_POLICY_ANALYSIS_ONLY,time_policy,ALLOW_MANAGE_ONLY,False,False,False,False,time_policy,False,10:30~13:00,기계/장비,,
226950,올릭스,2026-05-19 12:59:34,TIME_POLICY_BLOCK,False,,,,,,TIME_POLICY_ANALYSIS_ONLY,time_policy,ALLOW_MANAGE_ONLY,False,False,False,False,time_policy,False,10:30~13:00,일반서비스,,
174900,앱클론,2026-05-19 12:59:46,TIME_POLICY_BLOCK,False,,,,,,TIME_POLICY_ANALYSIS_ONLY,time_policy,ALLOW_MANAGE_ONLY,False,False,False,False,time_policy,False,10:30~13:00,제약,,
083500,에프엔에스테크,2026-05-19 14:19:34,TIME_POLICY_BLOCK,False,,,,,,TIME_POLICY_PRE_MOMENTUM_BLOCK,time_policy,BLOCK_AFTER_ENTRY_CUTOFF,False,False,False,False,time_policy,False,13:00~14:20,기계/장비,,
290660,다이나믹솔루션,2026-05-19 14:23:57,TIME_POLICY_BLOCK,False,,,,,,TIME_POLICY_ANALYSIS_ONLY,time_policy,BLOCK_AFTER_ENTRY_CUTOFF,False,False,False,False,time_policy,False,14:20~close,의료/정밀기기,,
080580,오킨스전자,2026-05-19 14:24:39,TIME_POLICY_BLOCK,False,,,,,,TIME_POLICY_PRE_MOMENTUM_BLOCK,time_policy,BLOCK_AFTER_ENTRY_CUTOFF,False,False,False,False,time_policy,False,14:20~close,전기/전자,,
